###Total Requests###,,,,,,,,,,
Type,Requests,% of Total,,,,,,,,
Blocked,0,0,,,,,,,,
Allowed,"3,130,922",100,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Allowed Requests###,,,,,,,,,,
User,Requests,% of Total,,,,,,,,
10.8.8.169,"617,886",39.03,,,,,,,,
user1 ,"218,251",13.79,,,,,,,,
10.8.7.2,"172,290",10.88,,,,,,,,
10.8.8.245,"138,775",8.77,,,,,,,,
10.8.168.10,"136,952",8.65,,,,,,,,
10.8.8.50,"101,267",6.4,,,,,,,,
10.8.8.155,"53,147",3.36,,,,,,,,
10.8.8.152,"51,752",3.27,,,,,,,,
10.8.8.128,"48,175",3.04,,,,,,,,
10.8.8.97,"44,751",2.83,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Blocked Requests###,,,,,,,,,,
No matching log data for this report,,,,,,,,,,
,,,,,,,,,,
###Requests Summary###,,,,,,,,,,
Time Stamp,Allowed Request,Blocked Request,,,,,,,,
1676239200,11156,0,,,,,,,,
1676242800,12056,0,,,,,,,,
1676246400,17667,0,,,,,,,,
1676250000,50883,0,,,,,,,,
1676253600,45277,0,,,,,,,,
1676257200,48271,0,,,,,,,,
1676260800,35217,0,,,,,,,,
1676264400,33674,0,,,,,,,,
1676268000,44535,0,,,,,,,,
1676271600,44455,0,,,,,,,,
1676275200,46621,0,,,,,,,,
1676278800,37406,0,,,,,,,,
1676282400,21085,0,,,,,,,,
1676286000,10541,0,,,,,,,,
1676289600,10779,0,,,,,,,,
1676293200,10880,0,,,,,,,,
1676296800,10739,0,,,,,,,,
1676300400,10832,0,,,,,,,,
,,,,,,,,,,
###Browsing Time Summary###,,,,,,,,,,
Time Stamp,,,,,,,,,,
1675699200,71,,,,,,,,,
1675702800,78,,,,,,,,,
1675706400,70,,,,,,,,,
1675710000,77,,,,,,,,,
1675713600,77,,,,,,,,,
1675717200,75,,,,,,,,,
1675720800,71,,,,,,,,,
1675724400,72,,,,,,,,,
1675728000,73,,,,,,,,,
1675731600,111,,,,,,,,,
1675735200,146,,,,,,,,,
1675738800,178,,,,,,,,,
1675742400,229,,,,,,,,,
1675746000,210,,,,,,,,,
1675749600,152,,,,,,,,,
1675753200,187,,,,,,,,,
1675756800,219,,,,,,,,,
1675760400,190,,,,,,,,,
1675764000,234,,,,,,,,,
1675767600,142,,,,,,,,,
1675771200,74,,,,,,,,,
1675774800,74,,,,,,,,,
1675778400,72,,,,,,,,,
1675782000,84,,,,,,,,,
1675785600,78,,,,,,,,,
1675789200,80,,,,,,,,,
1675792800,89,,,,,,,,,
1675796400,70,,,,,,,,,
1675800000,80,,,,,,,,,
1675803600,73,,,,,,,,,
1675807200,85,,,,,,,,,
1675810800,96,,,,,,,,,
1675814400,101,,,,,,,,,
1675818000,115,,,,,,,,,
1675821600,169,,,,,,,,,
1675825200,152,,,,,,,,,
1675828800,189,,,,,,,,,
1675832400,184,,,,,,,,,
1675836000,152,,,,,,,,,
1675839600,160,,,,,,,,,
1675843200,220,,,,,,,,,
1675846800,241,,,,,,,,,
1675850400,174,,,,,,,,,
1675854000,161,,,,,,,,,
1675857600,87,,,,,,,,,
1675861200,81,,,,,,,,,
1675864800,70,,,,,,,,,
1675868400,89,,,,,,,,,
1675872000,94,,,,,,,,,
1675875600,87,,,,,,,,,
1675879200,74,,,,,,,,,
1675882800,83,,,,,,,,,
1675886400,93,,,,,,,,,
1675890000,82,,,,,,,,,
1675893600,72,,,,,,,,,
1675897200,75,,,,,,,,,
1675900800,94,,,,,,,,,
1675904400,101,,,,,,,,,
1675908000,126,,,,,,,,,
1675911600,175,,,,,,,,,
1675915200,193,,,,,,,,,
1675918800,165,,,,,,,,,
1675922400,134,,,,,,,,,
1675926000,173,,,,,,,,,
1675929600,180,,,,,,,,,
1675933200,200,,,,,,,,,
1675936800,168,,,,,,,,,
1675940400,122,,,,,,,,,
1675944000,84,,,,,,,,,
1675947600,78,,,,,,,,,
1675951200,81,,,,,,,,,
1675954800,83,,,,,,,,,
1675958400,86,,,,,,,,,
1675962000,80,,,,,,,,,
1675965600,78,,,,,,,,,
1675969200,81,,,,,,,,,
1675972800,75,,,,,,,,,
1675976400,78,,,,,,,,,
1675980000,84,,,,,,,,,
1675983600,72,,,,,,,,,
1675987200,83,,,,,,,,,
1675990800,107,,,,,,,,,
1675994400,130,,,,,,,,,
1675998000,162,,,,,,,,,
1676001600,180,,,,,,,,,
1676005200,156,,,,,,,,,
1676008800,152,,,,,,,,,
1676012400,138,,,,,,,,,
1676016000,190,,,,,,,,,
1676019600,208,,,,,,,,,
1676023200,173,,,,,,,,,
1676026800,140,,,,,,,,,
1676030400,105,,,,,,,,,
1676034000,101,,,,,,,,,
1676037600,81,,,,,,,,,
1676041200,90,,,,,,,,,
1676044800,76,,,,,,,,,
1676048400,80,,,,,,,,,
1676052000,91,,,,,,,,,
1676055600,100,,,,,,,,,
1676059200,101,,,,,,,,,
1676062800,87,,,,,,,,,
1676066400,81,,,,,,,,,
1676070000,80,,,,,,,,,
1676073600,84,,,,,,,,,
1676077200,88,,,,,,,,,
1676080800,85,,,,,,,,,
1676084400,82,,,,,,,,,
1676088000,87,,,,,,,,,
1676091600,95,,,,,,,,,
1676095200,86,,,,,,,,,
1676098800,84,,,,,,,,,
1676102400,76,,,,,,,,,
1676106000,80,,,,,,,,,
1676109600,85,,,,,,,,,
1676113200,83,,,,,,,,,
1676116800,82,,,,,,,,,
1676120400,91,,,,,,,,,
1676124000,89,,,,,,,,,
1676127600,88,,,,,,,,,
1676131200,88,,,,,,,,,
1676134800,86,,,,,,,,,
1676138400,88,,,,,,,,,
1676142000,84,,,,,,,,,
1676145600,81,,,,,,,,,
1676149200,88,,,,,,,,,
1676152800,90,,,,,,,,,
1676156400,88,,,,,,,,,
1676160000,76,,,,,,,,,
1676163600,89,,,,,,,,,
1676167200,83,,,,,,,,,
1676170800,85,,,,,,,,,
1676174400,82,,,,,,,,,
1676178000,89,,,,,,,,,
1676181600,82,,,,,,,,,
1676185200,85,,,,,,,,,
1676188800,86,,,,,,,,,
1676192400,106,,,,,,,,,
1676196000,83,,,,,,,,,
1676199600,84,,,,,,,,,
1676203200,82,,,,,,,,,
1676206800,92,,,,,,,,,
1676210400,93,,,,,,,,,
1676214000,79,,,,,,,,,
1676217600,82,,,,,,,,,
1676221200,91,,,,,,,,,
1676224800,82,,,,,,,,,
1676228400,82,,,,,,,,,
1676232000,83,,,,,,,,,
1676235600,84,,,,,,,,,
1676239200,88,,,,,,,,,
1676242800,88,,,,,,,,,
1676246400,78,,,,,,,,,
1676250000,96,,,,,,,,,
1676253600,137,,,,,,,,,
1676257200,172,,,,,,,,,
1676260800,156,,,,,,,,,
1676264400,186,,,,,,,,,
1676268000,178,,,,,,,,,
1676271600,170,,,,,,,,,
1676275200,198,,,,,,,,,
1676278800,233,,,,,,,,,
1676282400,221,,,,,,,,,
1676286000,148,,,,,,,,,
1676289600,78,,,,,,,,,
1676293200,85,,,,,,,,,
1676296800,74,,,,,,,,,
1676300400,85,,,,,,,,,
,,,,,,,,,,
###Bandwidth Summary###,,,,,,,,,,
Time Stamp,,,,,,,,,,
1675699200,47536317,1101471372,,,,,,,,
1675702800,57057481,1624553848,,,,,,,,
1675706400,35160838,604997429,,,,,,,,
1675710000,46773691,1099076329,,,,,,,,
