###Top Domain with Botnet Command-and-Control Detected###,,,,,,
No matching log data for this report,,,,,,
,,,,,,
###Top Visited High Risk Domain Categories###,,,,,,
No matching log data for this report,,,,,,
,,,,,,
###Domain Count by Threat level###,,,,,,
, ,% of Total,,,,
10.8.8.129,2,100,,,,
,,,,,,
###Top Users and Infected Domain by Visit Count###,,,,,,
ID,User,Domain,,,,
1,10.8.8.129,omnatuor.com,,,,
2,10.8.8.129,pushimg.com,,,,
,,,,,,
###Top Users by Visited Domain Category Count###,,,,,,
, ,% of Total,,,,
10.8.13.12,39,12.19,,,,
10.8.9.122,34,10.62,,,,
10.8.9.101,34,10.62,,,,
10.8.9.106,33,10.31,,,,
10.8.9.108,33,10.31,,,,
10.8.123.20,32,10,,,,
10.8.123.21,30,9.38,,,,
10.8.123.17,29,9.06,,,,
10.8.123.6,28,8.75,,,,
10.8.13.35,28,8.75,,,,
,,,,,,
###Top Users and Visited Domain Category by Count###,,,,,,
ID,User,Category,Source IP,,,
1,10.8.8.97,Information Technology,10.8.8.97,,,
2,10.8.8.169,Information Technology,10.8.8.169,,,
3,10.8.8.155,Information Technology,10.8.8.155,,,
4,10.8.8.50,Unknown,10.8.8.50,,,
5,10.8.8.129,Unknown,10.8.8.129,,,
6,10.8.8.151,Information Technology,10.8.8.151,,,
7,10.8.8.50,Information Technology,10.8.8.50,,,
8,10.8.8.129,Information Technology,10.8.8.129,,,
9,10.8.8.86,Information Technology,10.8.8.86,,,
10,10.8.8.245,Information Technology,10.8.8.245,,,
11,10.8.168.10,Information Technology,10.8.168.10,,,
12,10.8.8.155,Web-based Email,10.8.8.155,,,
13,10.8.8.220,Information Technology,10.8.8.220,,,
14,10.8.168.254,Information Technology,10.8.168.254,,,
15,10.8.8.75,Information Technology,10.8.8.75,,,
16,10.8.8.98,Information Technology,10.8.8.98,,,
17,10.8.7.2,Information Technology,10.8.7.2,,,
18,10.8.8.152,Information Technology,10.8.8.152,,,
19,10.8.8.128,Information Technology,10.8.8.128,,,
20,10.8.8.151,Web-based Email,10.8.8.151,,,
,,,,,,
###Top Newly Detected Domain by Count###,,,,,,
Domain, ,% of Total,,,,
omnatuor.com,10,50,,,,
pushimg.com,8,40,,,,
supapush.net,2,10,,,,
,,,,,,
###Top Newly Detected Domain and Source IP with First Seen and Last Seen###,,,,,,
ID,Domain,Source IP,First Seen,Last Seen,,
1,omnatuor.com,10.8.8.129,7/2/2023 9:35,8/2/2023 6:05,,
2,pushimg.com,10.8.8.129,8/2/2023 22:46,8/2/2023 23:04,,
3,supapush.net,10.8.8.129,10/2/2023 19:09,11/2/2023 22:52,,
,,,,,,
Top Domain with Botnet Command-and-Control Detected,N/A,,,,,
Top One DNS High Risk Source IP,10.8.8.155,,,,,
Top Malicious IP,10.8.8.129,,,,,
Count of Domains Blocked,0,,,,,
Mostly Queried Domain,www.example.com,,,,,
